ticker,fiscal_year,fiscal_quarter,end_date,net_sales,operating_income,roe,employee_num,non_current_assets,assets,market_capital,pbr
1301,2005,4,2006-03-31,152899000000,3283000000,10.93,,,65049000000,32513342650,1.77
1301,2006,4,2007-03-30,157088000000,2790000000,10.73,,,66459000000,28338205290,1.51
1301,2007,4,2008-03-31,147767000000,2926000000,8.55,,,57373000000,18385610292,1.05
1301,2008,4,2009-03-31,147554000000,2981000000,9.05,,17432000000,61184000000,19786711417,1.13
1301,2009,4,2010-03-31,145778000000,2180000000,6.02,,19347000000,64301000000,21056081346,1.17
1301,2010,4,2011-03-31,162731000000,1588000000,0.34,,20779000000,76925000000,18486174256,1.08
1301,2011,4,2012-03-30,181885000000,1636000000,2.49,,20113000000,84937000000,20796887628,1.23
1301,2012,4,2013-03-29,178046000000,2324000000,6.88,2397,20778000000,83245000000,22162274858,1.26
1301,2013,4,2014-03-31,202387000000,2915000000,15.07,2111,21286000000,84319000000,27518304876,1.4
1301,2014,4,2015-03-31,218350000000,2460000000,10.74,2169,19076000000,88937000000,29828735272,1.32
1301,2015,4,2016-03-31,226626000000,2433000000,7.97,2249,24181000000,94608000000,27098168796,1.2
1301,2016,4,2017-03-31,236561000000,3723000000,9.7,2193,25040000000,97391000000,30836141528,1.23
1301,2017,4,2018-03-30,254783000000,4066000000,11.11,2257,25078000000,106297000000,39962738000,1.44
1301,2018,4,2019-03-29,256151000000,3831000000,9.16,2264,25248000000,114673000000,30683168956,0.99
1301,2019,4,2020-03-31,262519000000,2918000000,6.23,2307,25932000000,111184000000,27334694660,0.84
1301,2020,4,2021-03-31,249197000000,4657000000,9.5,2313,29681000000,116331000000,32864189995,0.81
1301,2021,4,2022-03-31,253575000000,6392000000,10.85,2208,30932000000,130460000000,35823340800,0.84
1301,2022,4,2023-03-31,272167000000,8105000000,12.16,,32098000000,146301000000,36704450900,0.77
1332,2005,4,2006-03-31,539653000000,11163000000,6.33,,,384819000000,148499276205,1.4
1332,2006,4,2007-03-30,552871000000,16544000000,8.31,,,404173000000,213198431160,2.01
1332,2007,4,2008-03-31,533970000000,7231000000,8.65,,,396739000000,103122424871,0.95
1332,2008,4,2009-03-31,505250000000,3156000000,,,194899000000,385462000000,71013966809,1.27
1332,2009,4,2010-03-31,481574000000,6227000000,0.07,,213358000000,383924000000,74878873968,1.22
1332,2010,4,2011-03-31,494294000000,8088000000,,,210237000000,401185000000,63824157705,1.21
1332,2011,4,2012-03-30,538030000000,9553000000,4.75,,209032000000,403182000000,77914276320,1.62
1332,2012,4,2013-03-29,566858000000,5809000000,,10175,222509000000,424108000000,49731760440,1.02
1332,2013,4,2014-03-31,604249000000,13931000000,5.68,8919,224879000000,434597000000,59953009116,0.85
1332,2014,4,2015-03-31,638435000000,18110000000,11.71,8240,230167000000,461889000000,100840529760,1.12
1332,2015,4,2016-03-31,637164000000,19442000000,12.96,8466,228247000000,445707000000,151118381576,1.59
1332,2016,4,2017-03-31,635953000000,22646000000,11.75,8722,218789000000,451876000000,172873956330,1.43
